Target,Method,AUC_mean,AUC_std,AUC_pooled,Sensitivity,Specificity,NPV,PPV,Brier
Overall_Survival,MLJAR AutoML,0.7454866382094574,0.0310306998814931,0.7397940401457025,0.7595108695652174,0.6060606060606061,0.6576402321083172,0.7166666666666667,0.20393626531519346
Overall_Survival,TabNet,0.6504136956914859,0.06412485674070585,0.6491319848097342,0.6494565217391305,0.5508021390374331,0.544973544973545,0.6547945205479452,0.2403887868403459
Relapse_Free,MLJAR AutoML,0.6631243814289686,0.04125622616818805,0.6572967032967033,0.3901098901098901,0.8426666666666667,0.6549222797927461,0.6435045317220544,0.22482219294049202
Relapse_Free,TabNet,0.5742387545176536,0.04970643374004203,0.5733064713064713,0.3443223443223443,0.7453333333333333,0.6095965103598692,0.49604221635883905,0.257698186047823
NPI_High_Risk,MLJAR AutoML,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
NPI_High_Risk,TabNet,0.9810832025655541,0.017119191267987624,0.9815891472868217,0.9264705882352942,0.967269595176572,0.9911738746690203,0.7682926829268293,0.03152911322759361
Vital_Disease,MLJAR AutoML,0.6793308673755328,0.031590010999417474,0.6760612102087432,0.31910112359550563,0.8895417156286721,0.7141509433962264,0.6016949152542372,0.20424040363500323
Vital_Disease,TabNet,0.5838627412329016,0.031506991994152383,0.5747078783717767,0.26741573033707866,0.8225616921269095,0.682261208576998,0.44074074074074077,0.2418622413504423
Luminal_Subtype,MLJAR AutoML,0.8532447750562472,0.02787466683526478,0.8518346369733936,0.9913473423980222,0.6168032786885246,0.9772727272727273,0.8109201213346815,0.1181247030578716
Luminal_Subtype,TabNet,0.8176768245830652,0.013787378420960117,0.8175039007882634,0.9320148331273177,0.5963114754098361,0.8410404624277457,0.7928496319663512,0.1504934171446014
HER2_Positive,MLJAR AutoML,0.7068105630265091,0.03228356884948666,0.7023197009674582,0.2375,0.920844327176781,0.8956372968349017,0.296875,0.12392263657106048
HER2_Positive,TabNet,0.6324625405750057,0.056244070971959007,0.6329320580474934,0.50625,0.6824978012313104,0.9076023391812865,0.1832579185520362,0.21733454216704048
